candidate_bits,memory_bits,exact_min_average_error,entropy_lower_bound,fixed_coordinate_retention_error,codebook,codebooks_evaluated
1,0,0.5,0.5,0.5,0,2
1,1,0.0,0.0,0.0,0 1,1
2,0,0.5,0.5,0.5,00,4
2,1,0.25,0.11002786443835955,0.25,00 01,6
2,2,0.0,0.0,0.0,00 01 10 11,1
3,0,0.5,0.5,0.5,000,8
3,1,0.25,0.1739523314093953,0.33333333333333337,000 111,28
3,2,0.16666666666666666,0.06149047007872416,0.16666666666666669,000 001 010 011,70
3,3,0.0,0.0,0.0,000 001 010 011 100 101 110 111,1
4,0,0.5,0.5,0.5,0000,16
4,1,0.3125,0.2145017448598287,0.375,0000 0111,120
4,2,0.1875,0.11002786443835955,0.25,0000 0001 1110 1111,1820
4,3,0.125,0.041692690273656685,0.125,0000 0001 0010 0011 0100 0101 0110 0111,12870
4,4,0.0,0.0,0.0,0000 0001 0010 0011 0100 0101 0110 0111 1000 1001 1010 1011 1100 1101 1110 1111,1
