seed,width,batches,policy,capacity_records,events,max_live_records,queries,correct,all_correct,anchor_correct,peak_records,peak_serialized_payload_bytes,checkpoints
0,2,4,lru_value_records,1,24,2,5,3,False,False,1,34,0
0,2,4,release_on_retire,1,24,2,5,3,False,False,1,34,0
0,2,4,lru_value_records,2,24,2,5,4,False,False,2,67,0
0,2,4,release_on_retire,2,24,2,5,5,True,True,2,65,0
0,2,4,lru_value_records,4,24,2,5,4,False,False,4,132,0
0,2,4,release_on_retire,4,24,2,5,5,True,True,2,65,0
0,2,4,lru_value_records,1,28,2,5,3,False,False,1,34,4
0,2,4,release_on_retire,1,28,2,5,3,False,False,1,34,4
0,2,4,lru_value_records,2,28,2,5,4,False,False,2,67,4
0,2,4,release_on_retire,2,28,2,5,5,True,True,2,65,4
0,2,4,lru_value_records,4,28,2,5,4,False,False,4,132,4
0,2,4,release_on_retire,4,28,2,5,5,True,True,2,65,4
0,2,4,lru_value_records,1,44,2,5,3,False,False,1,34,20
0,2,4,release_on_retire,1,44,2,5,3,False,False,1,34,20
0,2,4,lru_value_records,2,44,2,5,4,False,False,2,67,20
0,2,4,release_on_retire,2,44,2,5,5,True,True,2,65,20
0,2,4,lru_value_records,4,44,2,5,4,False,False,4,132,20
0,2,4,release_on_retire,4,44,2,5,5,True,True,2,65,20
0,2,16,lru_value_records,1,84,2,17,15,False,False,1,35,0
0,2,16,release_on_retire,1,84,2,17,15,False,False,1,35,0
0,2,16,lru_value_records,2,84,2,17,16,False,False,2,69,0
0,2,16,release_on_retire,2,84,2,17,17,True,True,2,65,0
0,2,16,lru_value_records,4,84,2,17,16,False,False,4,136,0
0,2,16,release_on_retire,4,84,2,17,17,True,True,2,65,0
0,2,16,lru_value_records,1,100,2,17,15,False,False,1,35,16
0,2,16,release_on_retire,1,100,2,17,15,False,False,1,35,16
0,2,16,lru_value_records,2,100,2,17,16,False,False,2,69,16
0,2,16,release_on_retire,2,100,2,17,17,True,True,2,65,16
0,2,16,lru_value_records,4,100,2,17,16,False,False,4,136,16
0,2,16,release_on_retire,4,100,2,17,17,True,True,2,65,16
0,2,16,lru_value_records,1,164,2,17,15,False,False,1,35,80
0,2,16,release_on_retire,1,164,2,17,15,False,False,1,35,80
0,2,16,lru_value_records,2,164,2,17,16,False,False,2,69,80
0,2,16,release_on_retire,2,164,2,17,17,True,True,2,65,80
0,2,16,lru_value_records,4,164,2,17,16,False,False,4,136,80
0,2,16,release_on_retire,4,164,2,17,17,True,True,2,65,80
0,2,64,lru_value_records,1,324,2,65,63,False,False,1,35,0
0,2,64,release_on_retire,1,324,2,65,63,False,False,1,35,0
0,2,64,lru_value_records,2,324,2,65,64,False,False,2,69,0
0,2,64,release_on_retire,2,324,2,65,65,True,True,2,65,0
0,2,64,lru_value_records,4,324,2,65,64,False,False,4,137,0
0,2,64,release_on_retire,4,324,2,65,65,True,True,2,65,0
0,2,64,lru_value_records,1,388,2,65,63,False,False,1,35,64
0,2,64,release_on_retire,1,388,2,65,63,False,False,1,35,64
0,2,64,lru_value_records,2,388,2,65,64,False,False,2,69,64
0,2,64,release_on_retire,2,388,2,65,65,True,True,2,65,64
0,2,64,lru_value_records,4,388,2,65,64,False,False,4,137,64
0,2,64,release_on_retire,4,388,2,65,65,True,True,2,65,64
0,2,64,lru_value_records,1,644,2,65,63,False,False,1,35,320
0,2,64,release_on_retire,1,644,2,65,63,False,False,1,35,320
0,2,64,lru_value_records,2,644,2,65,64,False,False,2,69,320
0,2,64,release_on_retire,2,644,2,65,65,True,True,2,65,320
0,2,64,lru_value_records,4,644,2,65,64,False,False,4,137,320
0,2,64,release_on_retire,4,644,2,65,65,True,True,2,65,320
0,4,4,lru_value_records,3,48,4,13,11,False,False,3,100,0
0,4,4,release_on_retire,3,48,4,13,11,False,False,3,100,0
0,4,4,lru_value_records,4,48,4,13,12,False,False,4,133,0
0,4,4,release_on_retire,4,48,4,13,13,True,True,4,131,0
0,4,4,lru_value_records,8,48,4,13,12,False,False,8,262,0
0,4,4,release_on_retire,8,48,4,13,13,True,True,4,131,0
0,4,4,lru_value_records,3,52,4,13,11,False,False,3,100,4
0,4,4,release_on_retire,3,52,4,13,11,False,False,3,100,4
0,4,4,lru_value_records,4,52,4,13,12,False,False,4,133,4
0,4,4,release_on_retire,4,52,4,13,13,True,True,4,131,4
